LGTD,LTTD,DRP
114.960741,38.088190,0.0
114.072194,41.364222,12.6
114.688000,41.169389,19.2
114.705389,41.355583,3.0
114.418628,41.374561,0.0
115.786750,41.426972,37.2
115.736049,41.509979,0.0
114.565083,42.073278,4.2
114.506917,41.937278,5.4
114.755778,41.929250,3.6
114.605528,41.855750,2.0
114.811389,41.754417,2.2
114.485667,41.753056,3.0
114.337444,41.816083,2.0
114.312389,41.706694,1.6
114.580083,41.659111,1.2
114.861306,41.648639,4.8
114.780472,41.556250,2.0
114.985750,41.471472,8.8
114.619250,41.495583,3.2
114.395694,41.572667,1.4
114.166000,41.480944,4.4
114.259694,41.118000,3.2
114.256778,41.329472,12.2
113.983222,41.271694,10.8
114.394333,41.065333,0.2
114.364750,41.173056,15.8
114.452250,41.241333,15.2
114.521778,41.336972,22.8
114.360028,41.386056,6.0
114.577917,41.006583,0.8
114.558472,41.037389,1.4
114.579861,41.083500,5.6
114.484417,41.051083,1.6
114.653583,41.075778,8.4
114.727444,41.027583,3.8
114.840306,41.045028,6.2
114.915028,41.071028,6.0
114.965833,41.179333,2.6
114.808694,41.174167,13.8
114.860306,41.179556,5.2
114.758750,41.111250,25.0
114.648250,41.258472,22.8
114.705389,41.355583,0.0
114.875833,41.285861,5.0
115.095917,41.357167,10.4
115.037444,41.324694,20.6
114.730972,41.449472,15.6
115.190556,41.548778,15.8
114.979833,41.561361,3.0
115.440139,41.308778,16.4
115.340583,41.440861,23.2
115.487250,41.376917,16.0
115.903667,41.289028,6.6
115.650111,41.548250,11.0
115.789667,41.433833,27.4
115.757583,41.512333,13.0
115.476056,41.658472,4.4
115.524333,41.397111,10.4
115.507583,41.502528,13.2
115.688778,41.636167,3.4
115.676000,41.665306,3.4
114.496078,41.694193,0.0
114.592552,42.078986,0.0
114.081437,41.432183,0.0
114.136114,41.179918,0.0
114.077264,41.238095,0.0
114.250047,41.322549,0.0
114.184152,41.268432,0.0
114.181623,41.262154,0.0
114.222794,41.182336,0.0
114.171548,41.260625,0.0
114.072166,41.233305,0.0
114.444812,41.192985,0.0
114.392223,41.195891,0.0
114.444812,41.192985,0.0
114.417517,41.072523,0.0
114.713696,41.376560,0.0
114.728658,41.156258,0.0
114.603791,41.099662,0.0
114.874850,41.189488,0.5
114.875855,41.190776,0.0
115.230736,41.261029,19.5
115.250084,41.288543,0.0
115.212518,41.285387,4.0
115.212518,41.285387,0.0
115.170242,41.268071,0.0
115.181096,41.301751,0.0
115.156965,41.295226,0.0
115.146391,41.316002,21.5
115.281886,41.266347,12.5
115.100992,41.265302,0.5
115.086091,41.327574,36.5
115.087542,41.317420,0.0
115.066454,41.351024,8.5
115.254052,41.295955,17.0
115.252647,41.326330,17.5
115.217298,41.344300,9.5
115.160985,41.349308,13.0
115.197992,41.375035,22.0
115.144756,41.381727,20.5
115.156001,41.401936,35.5
115.097188,41.355813,8.0
115.248717,41.354613,14.5
115.409972,41.272862,23.0
115.361670,41.269631,7.5
115.351219,41.268343,21.5
115.374763,41.287339,14.5
115.382594,41.315122,10.5
115.440648,41.306549,14.5
115.318931,41.285483,6.0
115.347743,41.300218,13.5
115.331464,41.325736,7.0
115.396802,41.362549,14.0
115.293687,41.344888,9.5
115.319539,41.358289,16.0
115.358984,41.369567,16.0
115.307138,41.373049,1.0
115.358425,41.397513,19.5
115.248664,41.415771,0.0
115.273442,41.437525,40.5
115.189385,41.433826,16.5
115.211466,41.459574,23.5
115.289686,41.398006,0.0
115.250111,41.461339,23.0
115.306554,41.395453,31.5
115.185096,41.494672,27.0
115.133278,41.300373,0.0
115.096668,41.522114,4.5
115.140340,41.614223,0.0
114.997361,41.540563,2.0
114.882504,41.541142,2.5
115.106826,41.579592,1.0
115.004521,41.607322,5.0
115.898285,41.651380,3.0
115.332110,41.598038,3.5
115.307101,41.545527,4.0
115.323039,41.489331,5.5
115.539805,41.543689,3.0
115.350948,41.471809,0.0
115.469722,41.469444,0.0
115.402196,41.400712,19.0
115.486387,41.375844,15.0
115.570192,41.309461,5.0
115.340212,41.676432,4.0
115.990778,41.434609,0.5
115.690694,41.640786,3.5
115.707222,41.586389,0.0
115.771535,41.517769,0.0
115.820814,41.370861,27.5
115.723948,41.570019,13.0
115.949578,41.369320,0.0
118.712222,41.018333,5.0
118.689079,40.999603,0.0
118.603333,40.750278,0.0
118.561940,40.634167,0.0
118.892669,40.649929,8.0
118.667500,40.995400,0.0
118.485000,40.611667,12.2
118.732111,41.078833,6.0
118.782222,41.030056,5.4
118.667111,40.995389,5.6
118.638139,40.925000,9.2
118.664833,40.904722,10.2
118.605056,40.751222,11.8
118.539917,40.633056,14.0
118.561306,40.643833,11.6
118.360141,40.592814,0.0
117.920551,40.430202,25.0
118.028056,40.375000,38.6
117.958363,40.368005,0.0
118.174260,40.436193,0.0
118.216700,40.366700,21.0
118.260825,40.187316,13.0
118.478644,40.408271,0.0
118.426577,40.202076,0.0
118.630207,40.115398,0.0
118.968728,40.474853,0.0
118.424119,40.201475,0.0
119.180253,40.448192,0.0
119.186887,40.450993,0.0
119.143956,40.359036,4.8
119.048745,40.136531,6.9
118.873309,40.070794,0.0
118.847078,39.886442,0.0
119.073944,40.914139,4.0
118.945917,39.934700,0.0
119.064086,39.402183,0.0
118.969264,40.475098,7.4
119.217367,40.425949,10.6
119.159759,40.327886,4.2
119.025032,40.314696,2.8
118.889474,39.886497,13.8
118.836355,40.172827,0.0
118.796838,40.123612,0.0
115.909056,41.466917,28.0
115.875889,41.517556,12.6
115.785500,41.615167,4.0
116.016139,41.558139,9.6
115.747111,41.769667,6.2
116.083333,41.783333,0.0
115.990222,41.788472,5.6
116.433611,42.617778,0.0
116.483333,42.550000,0.0
116.583889,42.516944,0.0
116.422222,42.502222,0.0
116.150000,41.916667,0.0
116.083333,42.050000,0.0
116.233333,42.083333,0.0
116.400000,42.033333,0.0
116.316667,42.183333,0.0
116.833333,42.333333,0.0
116.850000,42.283333,0.0
116.820000,42.303333,0.0
116.600000,42.050000,0.0
116.550056,41.882583,15.2
116.351194,41.960111,11.0
116.671333,41.794278,10.6
116.395333,41.667556,11.4
116.544778,41.653694,15.2
116.832000,41.649056,23.6
116.939222,41.616778,14.0
117.250028,42.405778,1.4
116.969778,42.142306,4.8
116.978722,42.021889,2.4
117.004194,41.845028,15.6
117.208306,41.658250,14.4
117.346361,41.352278,14.6
117.377861,41.233833,11.8
116.781500,41.480556,32.6
116.870917,41.391167,23.4
116.828278,41.379306,43.4
116.983444,41.421139,3.6
116.987083,41.413972,21.6
117.125028,41.429583,19.2
117.189806,41.383417,20.0
117.207222,41.340750,17.0
117.140750,41.358750,22.0
117.043250,41.241806,53.6
117.052917,41.237972,47.4
117.241222,41.263917,28.8
117.196972,41.227611,23.0
117.395611,40.816833,4.6
117.425083,40.850056,8.6
117.321444,40.918917,12.4
117.489278,40.985444,68.8
117.533389,42.201361,10.2
117.687528,42.173889,18.0
117.727389,42.164861,0.0
117.650028,42.100028,8.4
117.369778,42.208556,6.0
117.533500,42.062722,19.2
117.482583,42.026750,15.6
117.553667,41.972889,19.8
117.594556,41.876583,11.6
117.690472,41.983444,22.6
118.095333,41.712222,36.6
118.001667,41.764361,62.0
118.029083,41.909556,7.4
118.003083,41.902333,12.0
117.896889,41.944694,17.4
117.894222,41.937389,13.4
117.758500,41.796278,9.6
117.750056,41.771056,5.2
117.745306,41.571056,19.0
117.555583,41.663139,5.6
117.620806,41.648972,18.4
117.651500,41.561917,11.6
117.804750,41.413583,11.8
117.695278,41.429250,29.2
117.121972,41.976333,4.4
117.208111,41.955917,3.2
117.158194,41.840361,8.8
117.195722,41.861361,4.2
117.165750,41.924194,4.0
117.308667,41.981444,0.0
117.328278,42.073333,13.4
117.280944,42.059972,16.2
117.360833,42.037472,13.2
117.458944,41.916694,2.2
117.535194,41.861833,1.4
117.370639,41.857917,2.8
117.534889,41.787167,14.4
117.361028,41.780889,6.2
117.370639,41.748028,6.8
117.428611,41.750000,5.4
117.321111,41.708639,29.0
117.448250,41.690028,7.2
117.441472,41.583389,35.4
117.555778,41.413667,8.2
